nombre,categoria_iba,ingredientes,preparacion,cristaleria,guarnicion,fuente_url
Pisco Punch,New Era Drinks (Bebidas de la nueva era),"60 ml (2 oz) de pisco; 22,5 ml (0,75 oz) de jugo fresco de piña; 15 ml (0,5 oz) de jarabe simple; 15 ml (0,5 oz) de jugo fresco de limón; 30 ml (1 oz) de vino blanco seco; 3 clavos de olor",Machacar suavemente el jarabe simple con los clavos de olor y añadir los demás ingredientes excepto el vino. Agitar vigorosamente y colar dos veces (doble colado) en una copa goblet grande. Añadir el vino por encima y remover suavemente.,copa goblet grande,Sin guarnición.,https://iba-world.com/iba-cocktail/pisco-punch/
Pisco Sour,Contemporary Classics (Clásicos contemporáneos),"60 ml (2 oz) de pisco; 30 ml (1 oz) de jugo fresco de limón; 20 ml (0,67 oz) de jarabe simple; 1 clara de huevo cruda entera",Poner todos los ingredientes en una coctelera con hielo. Agitar y colar en una copa goblet fría.,copa goblet,Unos golpes de amargo (bitters) por encima como guarnición aromática.,https://iba-world.com/iba-cocktail/pisco-sour/
Piña Colada,Contemporary Classics (Clásicos contemporáneos),"50 ml (1,67 oz) de ron blanco; 30 ml (1 oz) de crema de coco; 50 ml (1,67 oz) de jugo fresco de piña","Licuar (blend) todos los ingredientes con hielo en una licuadora eléctrica, verter en un vaso grande y servir con pajitas. Nota: históricamente se añadían al gusto unas gotas de jugo fresco de lima. Se pueden usar 4 rodajas de piña fresca en lugar del jugo.",vaso grande,Una rodaja de piña con una cereza de cóctel.,https://iba-world.com/iba-cocktail/pina-colada/
Planters Punch,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de ron de Jamaica; 15 ml (0,5 oz) de jugo de lima; 30 ml (1 oz) de jugo de caña de azúcar","Verter todos los ingredientes directamente en un vaso tumbler pequeño o en un vaso típico de terracota. Nota: diluir al gusto con agua, hielo o jugos frescos.",vaso tumbler pequeño o vaso de terracota,Una piel (zest) de naranja.,https://iba-world.com/iba-cocktail/planters-punch/
Porn Star Martini,New Era Drinks (Bebidas de la nueva era),"50 ml (1,67 oz) de vodka de vainilla; 20 ml (0,67 oz) de licor de maracuyá (fruta de la pasión); 50 ml (1,67 oz) de puré de maracuyá (fruta de la pasión); 2 cucharadas de bar de azúcar de vainilla; 50 ml (1,67 oz) de champaña, servida aparte","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar dos veces (doble colado) en una copa de cóctel grande y fría. Acompañar con un shot de champaña.",copa de cóctel grande,Media fruta de maracuyá y azúcar.,https://iba-world.com/iba-cocktail/porn-star-martini/
Rabo de Galo,Contemporary Classics (Clásicos contemporáneos),"60 ml (2 oz) de cachaça; 20 ml (0,67 oz) de vermut dulce Cinzano Rosso; 15 ml (0,5 oz) de Cynar; 2 gotas de Angostura (opcional)","Combinar todos los ingredientes en un vaso rocks, añadir hielo y remover brevemente.",vaso rocks,Un twist de naranja.,https://iba-world.com/iba-cocktail/rabo-de-galo/
Ramos Fizz,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de gin; 15 ml (0,5 oz) de jugo fresco de lima; 15 ml (0,5 oz) de jugo fresco de limón; 30 ml (1 oz) de jarabe de azúcar; 60 ml (2 oz) de crema de leche; 30 ml (1 oz) de clara de huevo; 3 golpes (dashes) de agua de azahar; 2 gotas de extracto de vainilla; agua con gas (soda)","Verter todos los ingredientes excepto el agua con gas en una coctelera con hielo. Agitar durante dos minutos, colar dos veces en un vaso, devolver la bebida a la coctelera y agitar con fuerza sin hielo durante un minuto. Colar en un vaso highball y completar con agua con gas. Nota: la bebida la inventó Henry Ramos en 1888 en su bar Meyer's Table d'Hôtel Internationale de Nueva Orleans; originalmente se agitaba durante 12 minutos por un equipo de 30 bartenders que se pasaban la coctelera de uno a otro.",vaso highball,Sin guarnición.,https://iba-world.com/iba-cocktail/ramos-fizz/
Remember the Maine,The Unforgettables (Inolvidables),"60 ml (2 oz) de whiskey de centeno (rye); 22,5 ml (0,75 oz) de vermut dulce; 15 ml (0,5 oz) de Cherry Brandy Luxardo; 7,5 ml (0,25 oz) de absenta",Verter la absenta en una copa coupé y hacerla girar para cubrir por completo el interior. Desechar la absenta y reservar la copa. Poner los demás ingredientes en un vaso mezclador y llenarlo con hielo hasta 3/4. Remover hasta enfriar y colar en la copa enjuagada con absenta.,copa coupé,Una piel (zest) de limón.,https://iba-world.com/iba-cocktail/remember-the-maine/
Russian Spring Punch,New Era Drinks (Bebidas de la nueva era),"25 ml (0,83 oz) de vodka; 25 ml (0,83 oz) de jugo fresco de limón; 15 ml (0,5 oz) de crème de cassis (licor de grosella negra); 10 ml (0,33 oz) de jarabe de azúcar; completar con vino espumoso","Verter todos los ingredientes en la coctelera excepto el vino espumoso, agitar bien con hielo, colar en un vaso tumbler alto y frío lleno de hielo y completar con vino espumoso.",vaso tumbler alto,"Moras y, opcionalmente, una rodaja de limón.",https://iba-world.com/iba-cocktail/russian-spring-punch/
Rusty Nail,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de whisky escocés (scotch); 25 ml (0,83 oz) de Drambuie",Verter todos los ingredientes directamente en un vaso old fashioned lleno de hielo. Remover suavemente.,vaso old fashioned,Una piel (zest) de limón.,https://iba-world.com/iba-cocktail/rusty-nail/
Sazerac,The Unforgettables (Inolvidables),"50 ml (1,67 oz) de coñac (cognac); 10 ml (0,33 oz) de absenta; 1 terrón de azúcar; 2 golpes (dashes) de Peychaud's Bitters","Enjuagar un vaso old fashioned frío con la absenta, añadir hielo picado y reservar. Remover los demás ingredientes con hielo en un vaso mezclador. Desechar el hielo y el exceso de absenta del vaso preparado y colar en él la bebida. Nota: la receta original cambió tras la guerra de Secesión estadounidense; el whiskey de centeno (rye) sustituyó al coñac porque este se volvió difícil de conseguir.",vaso old fashioned,Una piel (zest) de limón.,https://iba-world.com/iba-cocktail/sazerac/
Sea Breeze,Contemporary Classics (Clásicos contemporáneos),"40 ml (1,33 oz) de vodka; 120 ml (4 oz) de jugo de arándano rojo; 30 ml (1 oz) de jugo de toronja (pomelo)",Construir (build) todos los ingredientes en un vaso highball lleno de hielo.,vaso highball,Una piel (zest) de naranja y una cereza.,https://iba-world.com/iba-cocktail/sea-breeze/
Sex on the Beach,Contemporary Classics (Clásicos contemporáneos),"40 ml (1,33 oz) de vodka; 20 ml (0,67 oz) de licor de durazno (peach schnapps); 40 ml (1,33 oz) de jugo fresco de naranja; 40 ml (1,33 oz) de jugo de arándano rojo",Construir (build) todos los ingredientes en un vaso highball lleno de hielo.,vaso highball,Media rodaja de naranja.,https://iba-world.com/iba-cocktail/sex-on-the-beach/
Sidecar,The Unforgettables (Inolvidables),"50 ml (1,67 oz) de coñac (cognac); 20 ml (0,67 oz) de triple sec; 20 ml (0,67 oz) de jugo fresco de limón","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/sidecar/
Singapore Sling,Contemporary Classics (Clásicos contemporáneos),"30 ml (1 oz) de gin; 15 ml (0,5 oz) de licor de cereza Sangue Morlacco; 7,5 ml (0,25 oz) de Cointreau; 7,5 ml (0,25 oz) de DOM Bénédictine; 120 ml (4 oz) de jugo fresco de piña; 15 ml (0,5 oz) de jugo fresco de lima; 10 ml (0,33 oz) de jarabe de granadina; un golpe (dash) de amargo de Angostura",Verter todos los ingredientes en una coctelera llena de cubos de hielo. Agitar bien y colar en una copa Hurricane.,copa Hurricane,Piña y una cereza marrasquino.,https://iba-world.com/iba-cocktail/singapore-sling/
South Side,New Era Drinks (Bebidas de la nueva era),"60 ml (2 oz) de gin London Dry; 30 ml (1 oz) de jugo fresco de limón; 15 ml (0,5 oz) de jarabe simple; 5 o 6 hojas de hierbabuena (menta); unas gotas de clara de huevo (opcional)","Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar dos veces (doble colado) en una copa de cóctel fría. Nota: si se usa clara de huevo, agitar vigorosamente.",copa de cóctel,Ramitas de hierbabuena (menta).,https://iba-world.com/iba-cocktail/south-side/
Spicy Fifty,New Era Drinks (Bebidas de la nueva era),"50 ml (1,67 oz) de vodka de vainilla; 15 ml (0,5 oz) de cordial de flor de saúco; 15 ml (0,5 oz) de jugo fresco de lima; 10 ml (0,33 oz) de jarabe de miel Monin; 2 rodajas finas de ají (chile) rojo","Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar dos veces (doble colado) en una copa de cóctel fría.",copa de cóctel,Un ají (chile) rojo.,https://iba-world.com/iba-cocktail/spicy-fifty/
Stinger,The Unforgettables (Inolvidables),"50 ml (1,67 oz) de coñac (cognac); 20 ml (0,67 oz) de crema de menta blanca",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien y colar en una copa martini fría.,copa martini,Opcional: una hoja de menta.,https://iba-world.com/iba-cocktail/stinger/
Suffering Bastard,New Era Drinks (Bebidas de la nueva era),"30 ml (1 oz) de coñac o brandy; 30 ml (1 oz) de gin; 15 ml (0,5 oz) de jugo fresco de lima; 2 golpes (dashes) de amargo de Angostura; completar con ginger beer (cerveza de jengibre)",Verter todos los ingredientes en la coctelera excepto la ginger beer y agitar bien con hielo. Verter sin colar en un vaso Collins o en la taza original Suffering Bastard y completar con ginger beer.,vaso Collins (o taza Suffering Bastard),"Una ramita de hierbabuena (menta) y, opcionalmente, una rodaja de naranja.",https://iba-world.com/iba-cocktail/suffering-bastard/
Tequila Sunrise,Contemporary Classics (Clásicos contemporáneos),"45 ml (1,5 oz) de tequila; 90 ml (3 oz) de jugo fresco de naranja; 15 ml (0,5 oz) de jarabe de granadina",Verter el tequila y el jugo de naranja directamente en un vaso highball lleno de cubos de hielo. Añadir el jarabe de granadina para crear el efecto cromático (amanecer o sunrise); no remover.,vaso highball,Media rodaja de naranja o una piel (zest) de naranja.,https://iba-world.com/iba-cocktail/tequila-sunrise/
Three Dots and a Dash,New Era Drinks (Bebidas de la nueva era),"45 ml (1,5 oz) de rhum agrícola de Martinica; 15 ml (0,5 oz) de ron añejo de mezcla (blended aged rum); 7,5 ml (0,25 oz) de falernum; 7,5 ml (0,25 oz) de licor de pimienta de Jamaica (Allspice Saint Elizabeth); 15 ml (0,5 oz) de jugo fresco de lima; 15 ml (0,5 oz) de jugo fresco de naranja; 15 ml (0,5 oz) de jarabe de miel; 2 golpes (dashes) de amargo de Angostura","Verter todos los ingredientes en una licuadora con 12 onzas de hielo picado, licuar brevemente (flash blend) y verter la bebida en un vaso copo con pie. Llenar el vaso con más hielo picado.",vaso copo con pie,Tres cerezas y un trozo rectangular de piña.,https://iba-world.com/iba-cocktail/three-dots-and-a-dash/
Tipperary,New Era Drinks (Bebidas de la nueva era),"50 ml (1,67 oz) de whiskey irlandés; 25 ml (0,83 oz) de vermut rojo dulce; 15 ml (0,5 oz) de Chartreuse verde; 2 golpes (dashes) de amargo de Angostura",Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien y colar en una copa martini fría.,copa martini,Una rodaja de naranja.,https://iba-world.com/iba-cocktail/tipperary/
Tommy's Margarita,New Era Drinks (Bebidas de la nueva era),60 ml (2 oz) de tequila 100 % de agave; 30 ml (1 oz) de jugo fresco de lima; 30 ml (1 oz) de néctar (sirope) de agave,"Verter todos los ingredientes en una coctelera, agitar bien con hielo y colar en un vaso rocks frío lleno de hielo.",vaso rocks,Una rodaja de lima.,https://iba-world.com/iba-cocktail/tommys-margarita/
Trinidad Sour,New Era Drinks (Bebidas de la nueva era),"45 ml (1,5 oz) de amargo de Angostura; 30 ml (1 oz) de jarabe de orgeat; 22,5 ml (0,75 oz) de jugo fresco de limón; 15 ml (0,5 oz) de whiskey de centeno (rye)",Verter todos los ingredientes en una coctelera y agitar bien con hielo. Colar en una copa de cóctel fría.,copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/trinidad-sour/
Tuxedo,The Unforgettables (Inolvidables),30 ml (1 oz) de gin Old Tom; 30 ml (1 oz) de vermut seco; 1/2 cucharada de bar de licor marrasquino Luxardo; 1/4 de cucharada de bar de absenta; 3 golpes (dashes) de bitter de naranja,Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien y colar en una copa martini fría.,copa martini,Una cereza y una piel (zest) de limón.,https://iba-world.com/iba-cocktail/tuxedo/
Ve.N.To,New Era Drinks (Bebidas de la nueva era),"45 ml (1,5 oz) de grappa blanca suave; 22,5 ml (0,75 oz) de jugo fresco de limón; 15 ml (0,5 oz) de mezcla de miel (honey mix; el agua puede sustituirse por manzanilla)*; 15 ml (0,5 oz) de cordial de manzanilla; unas gotas de clara de huevo (opcional)","Verter todos los ingredientes en la coctelera. Agitar vigorosamente con hielo. Colar en un vaso tumbler pequeño y frío lleno de hielo. *Si se desea, el agua de la mezcla de miel puede reemplazarse por infusión de manzanilla.",vaso tumbler pequeño,Una piel (zest) de limón y uvas blancas.,https://iba-world.com/iba-cocktail/ve-n-to/
Vesper,Contemporary Classics (Clásicos contemporáneos),"45 ml (1,5 oz) de gin; 15 ml (0,5 oz) de vodka; 7,5 ml (0,25 oz) de Lillet Blanc",Verter todos los ingredientes en una coctelera llena de cubos de hielo. Agitar y colar en una copa de cóctel fría.,copa de cóctel,Una piel (zest) de limón.,https://iba-world.com/iba-cocktail/vesper/
Vieux Carré,The Unforgettables (Inolvidables),30 ml (1 oz) de whiskey de centeno (rye); 30 ml (1 oz) de coñac (cognac); 30 ml (1 oz) de vermut dulce; 1 cucharada de bar de Bénédictine; 2 golpes (dashes) de Peychaud's Bitters,Verter todos los ingredientes en un vaso mezclador con cubos de hielo. Remover bien y colar en una copa de cóctel fría.,copa de cóctel,Una piel (zest) de naranja y una cereza marrasquino.,https://iba-world.com/iba-cocktail/vieux-carre/
Whiskey Sour,The Unforgettables (Inolvidables),"45 ml (1,5 oz) de bourbon; 25 ml (0,83 oz) de jugo fresco de limón; 20 ml (0,67 oz) de jarabe de azúcar; unas gotas de clara de huevo (opcional)","Verter todos los ingredientes en una coctelera llena de hielo y agitar bien. Colar en un vaso cobbler. Si se sirve con hielo (on the rocks), colar en un vaso old fashioned lleno de hielo. Nota: si se usa clara de huevo, agitar un poco más fuerte para liberar e incorporar la espuma de la clara.",vaso cobbler (o vaso old fashioned si se sirve con hielo),"Media rodaja de naranja y una cereza marrasquino; opcionalmente, una piel (zest) de naranja.",https://iba-world.com/iba-cocktail/whiskey-sour/
White Lady,The Unforgettables (Inolvidables),"40 ml (1,33 oz) de gin; 30 ml (1 oz) de triple sec; 20 ml (0,67 oz) de jugo fresco de limón","Verter todos los ingredientes en la coctelera, agitar bien con hielo y colar en una copa de cóctel fría.",copa de cóctel,Sin guarnición.,https://iba-world.com/iba-cocktail/white-lady/
Zombie,Contemporary Classics (Clásicos contemporáneos),"45 ml (1,5 oz) de ron oscuro de Jamaica; 45 ml (1,5 oz) de ron dorado de Puerto Rico; 30 ml (1 oz) de ron Demerara; 20 ml (0,67 oz) de jugo fresco de lima; 15 ml (0,5 oz) de falernum; 15 ml (0,5 oz) de Donn's Mix*; 1 cucharadita de jarabe de granadina; 1 golpe (dash) de amargo de Angostura; 6 gotas de Pernod",Poner todos los ingredientes en una licuadora eléctrica con 170 gramos de hielo picado. Licuar a pulsos durante unos segundos. Servir en un vaso tumbler alto. *Donn's Mix: 2 partes de jugo fresco de toronja amarilla y 1 parte de jarabe de canela.,vaso tumbler alto,Hojas de hierbabuena (menta).,https://iba-world.com/iba-cocktail/zombie/
